matchup,status,rule_triggered,category,model_total,model_spread,independent_total,independent_spread,base_line,underdog_scaled_line,underdog,underdog_score,is_hit,details,proj_pace,score_away,score_home,win_prob,timestamp
NY vs LA,HIT,Rule 3 — Over Execution,OVER,170.5,13.5,170.51,-13.28,78.5,72.42,LA,74,True,Underdog LA OVER 72.42 | Actual: 74 | ✓ CLEARS,81.40000000000002,91.89,78.61,0.8,2026-08-02T12:07:45.299200
NY vs TOR,HIT,Rule 4 — Under Execution,UNDER,169.5,11.0,169.36,-10.81,79.25,83.65,TOR,83,True,Underdog TOR UNDER 83.65 | Actual: 83 | ✓ STAYS BELOW,80.8,90.09,79.28,1.8,2026-08-02T12:07:45.299210
PHX vs CON,HIT,Rule 3 — Over Execution,OVER,162.0,4.0,162.02,3.82,79.0,77.2,PHX,78,True,Underdog PHX OVER 77.20 | Actual: 78 | ✓ CLEARS,80.10000000000001,79.1,82.92,15.4,2026-08-02T12:07:45.299219
CHI vs MIN,HIT,Rule 3 — Over Execution,OVER,164.5,14.5,164.58,14.43,75.0,68.47,CHI,71,True,Underdog CHI OVER 68.47 | Actual: 71 | ✓ CLEARS,78.8,75.08,89.51,0.5,2026-08-02T12:07:45.299228
GS vs PHX,MISS,Rule 3 — Over Execution,OVER,170.0,1.0,170.11,-1.17,84.5,84.05,PHX,84,False,Underdog PHX OVER 84.05 | Actual: 84 | ✗ FAILS,81.10000000000001,85.64,84.47,26.5,2026-08-02T12:07:45.299238
IND vs TOR,HIT,Rule 3 — Over Execution,OVER,170.5,5.0,170.65,-4.99,82.75,80.5,TOR,97,True,Underdog TOR OVER 80.50 | Actual: 97 | ✓ CLEARS,81.19999999999997,87.82,82.83,11.4,2026-08-02T12:07:45.299247
LA vs NY,HIT,Rule 3 — Over Execution,OVER,170.5,18.5,170.51,18.28,76.0,67.67,LA,77,True,Underdog LA OVER 67.67 | Actual: 77 | ✓ CLEARS,81.40000000000002,76.11,94.39,0.1,2026-08-02T12:07:45.299256
LA vs PHX,HIT,Rule 4 — Under Execution,UNDER,171.0,9.0,170.91,8.77,81.0,84.6,LA,75,True,Underdog LA UNDER 84.60 | Actual: 75 | ✓ STAYS BELOW,82.3,81.07,89.84,3.6,2026-08-02T12:07:45.299265
LA vs TOR,MISS,Rule 4 — Under Execution,UNDER,166.0,5.0,165.79,4.83,80.5,82.5,LA,86,False,Underdog LA UNDER 82.50 | Actual: 86 | ✗ EXCEEDS,80.60000000000001,80.48,85.31,11.9,2026-08-02T12:07:45.299276
NY vs POR,HIT,Rule 4 — Under Execution,UNDER,175.5,16.5,175.41,-16.45,79.5,86.1,POR,74,True,Underdog POR UNDER 86.10 | Actual: 74 | ✓ STAYS BELOW,82.99999999999999,95.93,79.48,0.3,2026-08-02T12:07:45.299285
PHX vs GS,MISS,Rule 3 — Over Execution,OVER,170.0,6.0,170.11,6.17,82.0,79.3,PHX,75,False,Underdog PHX OVER 79.30 | Actual: 75 | ✗ FAILS,81.10000000000001,81.97,88.14,8.2,2026-08-02T12:07:45.299296
POR vs NY,HIT,Rule 4 — Under Execution,UNDER,175.5,21.5,175.41,21.45,77.0,85.6,POR,81,True,Underdog POR UNDER 85.60 | Actual: 81 | ✓ STAYS BELOW,82.99999999999999,76.98,98.43,0.0,2026-08-02T12:07:45.299305
WSH vs PHX,MISS,Rule 4 — Under Execution,UNDER,170.0,6.5,169.92,6.35,81.75,84.35,WSH,86,False,Underdog WSH UNDER 84.35 | Actual: 86 | ✗ EXCEEDS,81.69999999999997,81.78,88.13,7.7,2026-08-02T12:07:45.299314
GS vs NY,HIT,Rule 3 — Over Execution,OVER,169.0,8.5,169.12,8.34,80.25,76.42,GS,80,True,Underdog GS OVER 76.42 | Actual: 80 | ✓ CLEARS,80.2,80.39,88.73,4.2,2026-08-02T12:07:45.299323
LA vs CON,MISS,Rule 3 — Over Execution,OVER,158.0,9.5,158.23,9.59,74.25,69.97,LA,68,False,Underdog LA OVER 69.97 | Actual: 68 | ✗ FAILS,78.99999999999999,74.32,83.91,2.8,2026-08-02T12:07:45.299333
NY vs WSH,HIT,Rule 4 — Under Execution,UNDER,169.5,11.0,169.36,-10.81,79.25,83.65,WSH,77,True,Underdog WSH UNDER 83.65 | Actual: 77 | ✓ STAYS BELOW,80.8,90.09,79.28,1.8,2026-08-02T12:07:45.299346
PHX vs WSH,SYSTEM SKIP,Rule 1 — Upset Clause,,170.0,1.5,,,,,WSH,86,,Underdog Win Prob (25.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.299356
LV vs GS,SYSTEM SKIP,Rule 1 — Upset Clause,,174.0,2.5,,,,,GS,85,,Underdog Win Prob (21.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.299365
PHX vs POR,MISS,Rule 3 — Over Execution,OVER,175.5,6.5,175.63,-6.68,84.5,81.58,POR,77,False,Underdog POR OVER 81.58 | Actual: 77 | ✗ FAILS,83.89999999999999,91.16,84.47,7.0,2026-08-02T12:07:45.299375
PHX vs SEA,HIT,Rule 3 — Over Execution,OVER,170.0,6.0,170.11,6.17,82.0,79.3,PHX,86,True,Underdog PHX OVER 79.30 | Actual: 86 | ✓ CLEARS,81.10000000000001,81.97,88.14,8.2,2026-08-02T12:07:45.299385
PHX vs WSH,SYSTEM SKIP,Rule 1 — Upset Clause,,170.0,1.5,,,,,WSH,86,,Underdog Win Prob (25.7%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.299391
GS vs CHI,HIT,Rule 4 — Under Execution,UNDER,166.0,4.5,165.91,-4.57,80.75,82.55,CHI,77,True,Underdog CHI UNDER 82.55 | Actual: 77 | ✓ STAYS BELOW,79.10000000000001,85.24,80.67,12.7,2026-08-02T12:07:45.299399
